favorite_count,hashtag,retweet_count,tweet_id
19941,None,6867,813051746834595840
7162,None,1787,812781120811126785
6298,None,1354,812709060537683968
5744,None,1148,812503143955202048
7581,None,1802,812466873996607488
12948,None,3429,812372279581671427
6922,None,1312,811985624773361665
7163,None,1480,811744202451197953
5322,None,682,811647686436880384
12089,None,2856,811627233043480576
19891,None,5993,811386762094317568
5057,None,1335,810984652412424192
8554,None,1646,810896069567610880
10438,None,2471,810657578271330305
33351,None,10507,810284430598270976
13992,None,3169,810254108431155201
14798,None,3687,809920764300447744
0,None,4587,809808892968534016
6614,None,1371,809448704142938112
18915,None,5256,809220051211603969
12585,None,3309,809084759137812480
9653,None,2868,808838249661788160
7516,None,2035,808733504066486276
10769,None,2456,808501579447930884
40257,None,19468,808344865868283904
0,None,5529,808134635716833280
8398,None,2071,808106460588765185
11865,None,3318,808001312164028416
13873,None,3394,807621403335917568
111783,None,51740,807106840509214720
0,None,6902,807059379405148160
12493,None,3638,807010152071229440
70696,None,32431,806629075125202948
0,None,5150,806620845233815552
4663,None,1827,806576416489959424
9748,None,2219,806542213899489280
0,None,10898,806242860592926720
6143,None,1134,806219024703037440
0,None,5023,805958939288408065
7894,None,1804,805932879469572096
6247,None,1718,805826884734976000
0,None,7491,805823200554876929
5490,None,1553,805520635690676224
8359,None,2383,805487436403003392
7490,None,1629,805207613751304193
13004,None,3604,804738756058218496
5853,None,1893,804475857670639616
0,None,3015,804413760345620481
42131,None,15077,804026241225523202
9573,None,2591,803773340896923648
0,None,6935,803692223237865472
10394,None,3888,803638050916102144
7407,None,1771,803380650405482500
0,None,4965,803321560782307329
9569,None,2302,803276597545603072
8585,None,1878,802952499103731712
0,None,2730,802624713319034886
6771,None,1385,802600418706604034
8529,None,2361,802572683846291456
15359,None,5490,802323869084381190
6627,None,1300,802265048156610565
8661,None,2463,802239329049477120
0,None,251,802185808107208704
7374,None,1599,801958328846974976
1722,None,219,801854953262350336
7828,None,1955,801538201127157760
5749,None,773,801285448605831168
23212,None,5529,801167903437357056
0,None,3706,801127390143516673
7686,None,1986,801115127852503040
648,None,91,800859414831898624
0,None,1520,800855607700029440
10102,None,2639,800751577355128832
12512,None,2834,800513324630806528
9058,None,2064,800459316964663297
0,None,4031,800443802682937345
10631,None,2638,800388270626521089
0,None,3698,800188575492947969
14530,None,2398,800141422401830912
26946,None,12339,800018252395122689
0,None,4376,799774291445383169
7987,None,2006,799757965289017345
7694,None,1802,799422933579902976
0,None,5094,799308762079035393
9401,None,2569,799297110730567681
7703,None,2344,799063482566066176
12442,None,4163,798933969379225600
7167,None,1363,798925684722855936
0,None,6228,798705661114773508
0,None,7258,798701998996647937
0,None,6106,798697898615730177
0,None,4649,798694562394996736
0,None,2182,798686750113755136
0,None,4438,798682547630837760
0,None,5231,798673117451325440
0,None,3680,798665375516884993
0,None,1748,798644042770751489
0,None,1867,798628517273620480
0,None,5283,798585098161549313
0,None,5493,798576900688019456
0,None,3144,798340744599797760
9934,None,2425,798209839306514432
10969,None,2894,797971864723324932
13898,None,4625,797545162159308800
18957,None,6170,797236660651966464
214,None,24,797165961484890113
0,None,8364,796904159865868288
7325,None,1831,796865951799083009
11218,None,2840,796759840936919040
0,None,6757,796563435802726400
7199,None,1655,796484825502875648
10473,None,3897,796387464403357696
0,None,13398,796177847564038144
30570,None,13398,796149749086875649
4741,ImWithThor,1687,796125600683540480
8654,None,2256,796116448414461957
8031,None,2172,796080075804475393
10288,None,3509,796031486298386433
46865,None,22012,795464331001561088
9531,None,2689,795400264262053889
15359,None,5108,795076730285391872
0,None,3165,794983741416415232
9697,None,2165,794926597468000259
0,None,9679,794355576146903043
9150,None,2542,794332329137291264
8785,None,3119,794205286408003585
15933,None,4587,793962221541933056
8783,None,1751,793845145112371200
0,None,2933,793614319594401792
7593,None,1521,793601777308463104
10141,None,2237,793500921481273345
23376,None,8607,793286476301799424
8263,None,2252,793271401113350145
18962,None,7819,793256262322548741
10006,None,3083,793241302385262592
9295,None,2723,793226087023144960
8486,None,2614,793210959003287553
14470,None,5285,793195938047070209
6572,None,1869,793180763617361921
8913,None,2632,793165685325201412
5860,None,1598,793150605191548928
6095,None,2365,793135492858580992
12046,None,3695,793120401413079041
13620,None,3719,792913359805018113
10728,None,4011,792883833364439040
7006,None,1575,792773781206999040
12744,None,4020,792394556390137856
6788,None,1674,792050063153438720
0,None,19745,791821351946420224
0,None,8921,791784077045166082
0,None,3563,791780927877898241
42824,None,20805,791774931465953280
11167,None,2933,791672322847637504
12500,None,3863,791406955684368384
8332,None,2370,791312159183634433
0,None,3824,791026214425268224
9318,None,1992,790987426131050500
15881,None,4397,790946055508652032
0,None,2149,790723298204217344
7811,None,1810,790698755171364864
19600,None,6662,790581949425475584
7431,None,1770,790337589677002753
11922,None,2961,790277117346975746
0,None,3318,790227638568808452
8814,None,2149,789986466051088384
0,None,3843,789960241177853952
9801,None,3889,789903600034189313
7088,None,1653,789628658055020548
6392,None,1798,789599242079838210
11097,None,3165,789530877013393408
8203,None,2141,789314372632018944
0,None,4596,789280767834746880
8675,None,2450,789268448748703744
9237,None,2611,789137962068021249
26104,None,11727,788908386943430656
25952,None,9679,788765914992902144
0,None,6675,788552643979468800
14747,None,4938,788412144018661376
6904,None,1982,788178268662984705
5806,None,1203,788150585577050112
0,None,3218,788070120937619456
5803,None,1231,788039637453406209
8164,None,2844,787810552592695296
9719,None,2589,787717603741622272
10349,None,2670,787397959788929025
7409,None,1628,787322443945877504
0,None,6303,787111942498508800
25316,None,7446,786963064373534720
0,None,2278,786729988674449408
17385,None,5740,786709082849828864
10060,None,2368,786664955043049472
8996,None,2926,786595970293370880
10292,None,3226,786363235746385920
7571,None,2652,786286427768250368
14426,None,4389,786233965241827333
1355,None,148,786051337297522688
0,None,6508,786036967502913536
10827,None,2993,785927819176054784
6355,None,1675,785872687017132033
7468,None,2106,785639753186217984
8602,None,1843,785533386513321988
5804,None,1166,785515384317313025
6911,None,1521,785264754247995392
11396,None,4506,785170936622350336
9587,None,3015,784826020293709826
8505,None,2370,784517518371221505
5449,None,1184,784431430411685888
18990,None,7491,784183165795655680
28144,None,10376,784057939640352768
28427,None,10064,783839966405230592
6996,None,1831,783821107061198850
9888,None,2995,783695101801398276
7993,None,2077,783466772167098368
16016,None,5100,783391753726550016
0,None,5156,783347506784731136
27539,None,10898,783334639985389568
7742,None,2022,783085703974514689
22847,None,6902,782969140009107456
7080,None,1320,782747134529531904
16321,None,5023,782722598790725632
7391,None,1768,782598640137187329
15734,None,5132,782305867769217024
0,None,5746,782021823840026624
10582,None,3144,781955203444699136
9892,None,2529,781661882474196992
3791,None,1055,781655249211752448
19612,None,5150,781524693396357120
6757,None,2386,781308096455073793
7929,None,1932,781251288990355457
9287,None,2584,781163403222056960
20506,None,6757,780931614150983680
6812,None,1868,780858289093574656
5203,None,1203,780800785462489090
11434,None,3128,780601303617732608
5959,None,1629,780543529827336192
0,None,3429,780496263422808064
0,None,103,780476555013349377
5003,None,1005,780459368902959104
8225,None,2091,780192070812196864
0,None,2140,780092040432480260
11445,None,4578,780074436359819264
17787,None,6508,779834332596887552
8269,None,2892,779377524342161408
0,None,17048,779124354206535695
13922,None,4218,779056095788752897
18778,None,6663,778990705243029504
0,None,9169,778774459159379968
823,None,338,778764940568104960
6470,None,1209,778748913645780993
5428,None,1394,778650543019483137
4347,None,943,778624900596654080
12884,None,4013,778408200802557953
0,None,11354,778396591732486144
5511,None,1019,778383385161035776
9751,None,3065,778286810187399168
7998,None,2468,778039087836069888
6203,None,1494,778027034220126208
0,None,3272,777953400541634568
6000,None,1517,777885040357281792
10633,None,2730,777684233540206592
0,None,3928,777641927919427584
8230,None,2345,777621514455814149
13351,None,3990,777189768882946048
0,None,12627,776819012571455488
4611,None,1114,776813020089548800
8258,None,2566,776477788987613185
0,None,8477,776249906839351296
28135,None,14752,776218204058357768
9035,None,2337,776201521193218049
11131,None,4031,776113305656188928
1718,None,141,776088319444877312
0,None,15558,775898661951791106
11047,None,2468,775842724423557120
13100,None,3706,775733305207554048
12280,None,4282,775729183532220416
6955,None,2718,775364825476165632
9582,None,3632,775350846108426240
14645,None,4376,775085132600442880
8143,None,1656,774757898236878852
6369,None,1616,774639387460112384
20568,None,5094,774314403806253056
10176,None,3590,773985732834758656
6067,None,1630,773922284943896577
6247,None,1498,773704687002451968
5061,None,1225,773670353721753600
20849,None,5702,773547596996571136
0,None,4680,773336787167145985
22011,None,6956,773308824254029826
8893,None,3009,773247561583001600
9405,None,3810,773191612633579521
8060,None,3581,772877495989305348
7576,None,2213,772826264096874500
0,None,3122,772615324260794368
6120,None,1588,772581559778025472
5687,None,1291,772193107915964416
3599,None,1055,772152991789019136
3560,None,688,772117678702071809
2585,None,440,772114945936949249
3778,None,866,772102971039580160
6198,None,1758,771908950375665664
11302,None,3144,771770456517009408
7786,None,2426,771500966810099713
9931,None,4680,771380798096281600
0,None,6907,771171053431250945
8621,None,2713,771136648247640064
5875,None,1337,771102124360998913
6493,None,1539,771014301343748096
4625,None,1106,770787852854652928
4896,None,1328,770772759874076672
6936,None,1670,770655142660169732
5955,None,1929,770414278348247044
5859,None,1357,770293558247038976
0,None,2818,770093767776997377
7158,None,2128,770069151037685760
29330,None,8848,769940425801170949
6052,None,1564,769695466921623552
0,None,7137,769335591808995329
5088,None,1601,769212283578875904
13420,None,6007,768970937022709760
0,None,2446,768909767477751808
3940,None,827,768855141948723200
3864,None,1100,768609597686943744
4740,None,1190,768596291618299904
0,None,5391,768554158521745409
12788,None,3164,768473857036525572
